品番,名前,スニダン,BIG,BANK,シンソク,利率,BIG予想値利率,BIG予想値,買取表,リアルタイム満額,底値,最底値(傷あり),BIG予想値と買取表の差異,買取表と底値の差異,利益率,備考,傾向,d7%,ma5,ma20,直近1週間,画像URL
294/XY-P,マリオピカチュウ（大）,"¥5,600,000","¥4,995,500","¥5,480,000","¥5,000,000",93%,93%,"¥5,203,600","¥5,245,200",,"¥4,928,000","¥4,600,000","-¥41,600","¥317,200",-0.84%,,横ばい,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/64f97b0261f30.webp
296/XY-p,ルイージピカチュウ（大）,"¥2,970,000","¥2,522,000","¥2,950,000","¥2,650,000",93%,94%,"¥2,802,100","¥2,648,100",,"¥2,673,000","¥2,438,000","¥154,000","-¥24,900",5.76%,,横ばい,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/64f97b6e5eee3.webp
279/XY-P,ピカチュウ(ポケモンカードゲーム 20th アニバーサリーフェスタ) PROMO 279/XY-P,"¥5,200,000",¥0,¥0,"¥4,390,000",93%,90%,"¥4,687,800","¥4,742,400",,"¥4,680,000","¥4,038,800","-¥54,600","¥62,400",-1.17%,,横ばい,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/650ab1b34ca81.webp
207/XY-P,ポンチョを着たピカチュウ(メガリザードンX) PROMO 207/XY-P,"¥4,100,000",¥0,"¥3,830,000","¥3,600,000",93%,91%,"¥3,715,100","¥3,676,800",,"¥3,690,000","¥3,312,000","¥38,300","-¥13,200",1.04%,,横ばい,,,,,
208/XY-P,ポンチョを着たピカチュウ　　（オレンジリザードン）,"¥2,798,000","¥2,425,000","¥2,750,000","¥2,510,000",93%,93%,"¥2,611,500","¥2,546,200",,"¥2,518,200","¥2,309,200","¥65,300","¥28,000",2.59%,,横ばい,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/6542eb547b3a3.webp
231/XY-P,ポンチョを着たピカチュウ　　（黒レックウザ）,"¥2,940,000","¥2,502,600","¥2,810,000","¥2,630,000",93%,91%,"¥2,666,900","¥2,627,700",,"¥2,646,000","¥2,419,600","¥39,200","-¥18,300",1.48%,,横ばい,,,,,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/ponchorekku231.jpg
230/XY-P,ポンチョを着たピカチュウ,"¥2,750,000","¥2,376,500","¥2,700,000","¥2,520,000",93%,93%,"¥2,564,000","¥2,495,300",,"¥2,475,000","¥2,318,400","¥68,700","¥20,300",2.78%,,下落,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/5cff1b7e-854a-4ab5-949d-205ed08f25d2.webp
SM-P013,スカル団ごっこピカチュウ,"¥2,206,000",,,,,,,,,,,,,,,,,,,,
229/BW-P,ピカチュウ(ポケモンセンター15周年 カードプレミアムセット) PROMO 229/BW-P,"¥2,600,000",¥0,¥0,"¥2,380,000",93%,92%,"¥2,395,900","¥2,371,200",,"¥2,340,000","¥2,189,600","¥24,700","¥31,200",1.06%,,横ばい,,,,,
150/XY-P,コイキングごっこピカチュウ PROMO 150/XY-P,"¥2,054,444",¥0,¥0,"¥1,960,000",93%,92%,"¥1,893,100","¥1,873,600",,"¥1,849,000","¥1,803,200","¥19,500","¥24,600",1.05%,,横ばい,,,,,
151/XY-P,ギャラドスごっこピカチュウ,"¥2,290,000","¥1,988,500","¥2,250,000","¥2,020,000",93%,93%,"¥2,136,700","¥2,087,900",,"¥2,061,000","¥1,858,400","¥48,800","¥26,900",2.37%,,横ばい,,,,,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/gyaradopi151.jpg
090/XY-P,ピカチュウ　（2014　バトルフェスタ　ゲンガー）,"¥1,515,600","¥1,338,600","¥1,500,000","¥1,310,000",93%,94%,"¥1,424,600","¥1,405,500",,"¥1,364,040","¥1,205,200","¥19,100","¥41,460",1.40%,,上昇,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/64cccc1f6eee0.webp
094/087,ピカチュウEX(アイアンテール:CP6)たいでん,"¥1,549,000","¥1,410,000","¥1,500,000","¥1,360,000",93%,94%,"¥1,455,000","¥1,440,000",,"¥1,394,100","¥1,251,200","¥15,000","¥45,900",1.08%,,横ばい,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/6442a84019885.webp
227/S-P,ピカチュウ（見返り）,"¥595,500","¥562,600",¥0,"¥530,000",91%,92%,"¥548,700","¥543,000",,"¥535,950","¥487,600","¥5,700","¥7,050",1.06%,,下落,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/6440e44bcb764.webp
400/SM-P,ピカチュウ(SR仕様)　（リミテッド）,"¥934,978","¥795,400",¥0,"¥810,000",82%,92%,"¥861,500","¥776,700",,"¥841,480","¥745,200","¥84,800","-¥64,780",10.08%,,上昇,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/643f9f7cd6ad2.webp
010/032,ピカチュウ　４匹,"¥786,000","¥688,700","¥760,000","¥700,000",94%,92%,"¥721,400","¥695,500",,"¥691,680","¥644,000","¥25,900","¥3,820",3.74%,,横ばい,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/642d55197a62b.webp
055/SM-P,イースターのピカチュウ,"¥580,000","¥485,000",¥0,"¥470,000",81%,90%,"¥522,800","¥473,100",,"¥522,000","¥432,400","¥49,700","-¥48,900",9.52%,,,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/33549b38_copy_651be58ec1ad4.webp
205/172,ピカチュウ（AR　はっぱ）,"¥93,000","¥87,300","¥92,000","¥82,000",94%,96%,"¥89,200","¥86,400","¥83,700","¥83,700","¥75,440","¥2,800","¥2,700",3.35%,,下落,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/63d48b58f18e1.webp
098/XY-P,メガトウキョーのピカチュウ（ちび）,"¥459,400","¥412,250",¥0,"¥400,000",96%,90%,"¥414,100","¥408,100",,"¥413,460","¥368,000","¥6,000","-¥5,360",1.45%,,,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/8a90ac96-74f6-431b-9e2c-4259819011e9.webp
203/XY-P,ポンチョを着たピカチュウ （３匹　ルカリオ）,"¥365,400","¥310,400","¥326,000","¥315,000",96%,85%,"¥308,900","¥307,200",,"¥328,860","¥289,800","¥1,700","-¥21,660",0.52%,,,,,,,https://cdn.dopa-game.jp/dopa_gacha/atari_card/image/6a2914a2_copy_642f04a633c8e.webp
